headline_text,article_url,article_preview,date,author
'It was intense': Licorice Pizza's and musician Alana Haim reflects on her first relationship and admits it's 'sad' thinking about as she'll 'never feel that deeply again',/tvshowbiz/article-10423589/Alana-Haim-reflects-relationship-admits-sad-thinking-about.html,"Alana Haim, one third of rock band Haim and star of new film Licorice Pizza, has admitted it's 'sad' reflecting on her 'deeply intense' first romantic relationship.",2022-01-20 16:53:47,Aisha Nozari For Mailonline
Megan Fox flashes her abs in crop top as she documents her loved-up adventures to Lake Como with fiance Machine Gun Kelly ,/tvshowbiz/article-10423679/Megan-Fox-documents-loved-adventures-Lake-Como-fiance-Machine-Gun-Kelly.html,"The beauty, 35, documented their trip to Lake Como in a slideshow posted Wednesday morning.",2022-01-20 16:59:23,Christine Rendon For Dailymail.com
EastEnders' Rose Ayling-Ellis and Giovanni Pernice put on an affectionate display as winners reunite for first night of Strictly tour,/tvshowbiz/article-10423727/EastEnders-Rose-Ayling-Ellis-Giovanni-Pernice-reunite-night-Strictly-tour.html,"Ahead of the show at Birmingham Arena, the EastEnders star, 27, who was the first deaf star to compete in the series, posed with Giovanni, 31.",2022-01-20 16:59:42,Connie Rusk For Mailonline
"'It's terrorism!' Nadia Sawalha reveals her daughter, 15, was subjected to a 40-minute vile rant from drunken men as Loose Women star discusses 'verbal violence' towards women",/tvshowbiz/article-10423631/Nadia-Sawalha-reveals-15-year-old-daughter-subjected-derogatory-rants-drunken-men.html,"The presenter, 57, detailed  on Thursday's Loose Women how her 15-year-old daughter Kiki and her pals were subjected to vile derogatory rants from a group of drunken men for 40 minutes on a train.",2022-01-20 17:07:48,Niomi Harris For Mailonline
"'I'm so sick, I've been freaking out': MAFS Australia star Jessika Power complains of feeling 'numb' as she details suffering side effects from her Covid vaccine ",/tvshowbiz/article-10423315/MAFS-star-Jessika-Power-bedridden-receiving-second-Covid-vaccine.html,"The MAFS Australia star, 30, took to Instagram stories on Thursday to detail the side effects she's been experiencing, including feeling hungover, numb and having pins and needles.",2022-01-20 17:10:40,Kenzi Devine For Mailonline
Julia Fox sports a fur coat with leather boots on a walk in New York with son Valentino... following whirlwind week in LA with new boyfriend Kanye West,/tvshowbiz/article-10423887/Julia-Fox-sports-fur-coat-leather-boots-walk-New-York-one-year-old-son-Valentino.html,The 31-year-old actress rocked a heavy fur coat with leather slacks while pushing a stroller through bustling city streets in Manhattan following a whirlwind week with her rapper beau.,2022-01-20 17:21:24,Tracy Wright For Dailymail.com
Newly-single Nadiya Bychkova dazzles in a sequin dress as she joins Strictly rehearsals - while Dan Walker hints he's missing dancing after the dancer leaned on him for support during split,/tvshowbiz/article-10423833/Newly-single-Nadiya-Bychkova-dazzles-silver-sequin-dress.html,"Nadiya Bychkova limbered up for the first show, her former celebrity partner Dan Walker hinted that he is missing the show in his own Instagram post.",2022-01-20 17:25:46,Charlotte Dean For Mailonline
Kristin Cavallari shows off her fit figure in a strappy bikini top while in the tropics to debut her new spring line for  Uncommon James,/tvshowbiz/article-10423519/istin-Cavallari-shows-fit-figure-bikini-tropics.html,"'Spring has sprung (at least at @uncommonjames). Our newest drop is here and it's [three fire emojis],' wrote the blonde bombshell in her caption for her 4.2million followers.",2022-01-20 17:35:38,Heidi Parker For Dailymail.com
Strictly's John Whaite wows in sheer net top alongside dance partner Johannes Radebe as they pose up a storm at 2022 tour photocall,/tvshowbiz/article-10423763/Strictlys-John-Whaite-wows-alongside-dance-partner-Johannes-Radebe-pose-storm.html,John Whaite and professional dancer Johannes Radebe already have made sure all eyes are on them as they posed up a storm during a glitzy photocall for the tour on Thursday.,2022-01-20 17:40:53,Ellen Coughlan For Mailonline
Camila Cabello calls ex-boyfriend Shawn Mendes a 'wildcat' after he shares two short clips of new music to his Instagram account,/tvshowbiz/article-10423603/Camila-Cabello-leaves-sweet-message-comments-section-video-shared-Shawn-Mendes.html,"The 23-year-old performer was seen listening to his forthcoming tracks in both a car and in a recording studio in his video, and he wrote a short message in his post's caption that read: 'y'all dig this ?'",2022-01-20 17:47:21,Sam Joseph Semon For Dailymail.com
Lori Harvey shows off her toned tummy in a colorful bikini while celebrating her 25th birthday during a sun-drenched vacation,/tvshowbiz/article-10423953/Lori-Harvey-shows-toned-tummy-colorful-bikini-celebrating-25th-birthday.html,Lori Harvey sent temperatures soaring as she donned a colorful print bikini while celebrating her 25th birthday. The stunning model showed off her incredibly toned tummy.,2022-01-20 17:50:46,Ashley Hume For Dailymail.Com
Larsa Pippen says she is 'trying to avoid' athletes after splits from Scottie Pippen and Malik Beasley... before sharing a stunning bikini selfie,/tvshowbiz/article-10423927/Larsa-Pippen-trying-avoid-athletes-splits-Scottie-Pippen-Malik-Beasley.html,Larsa Pippen said she's trying 'to avoid' dating athletes following her divorce from Scottie Pippen and split from Malik Beasley.,2022-01-20 17:55:07,Ashleigh Gray For Dailymail.Com
Beaming Britain's Got Talent presenters Ant and Dec look in great spirits as they head to the London Palladium in smart black outfits for series 15 auditions,/tvshowbiz/article-10423865/BGTs-Ant-Dec-look-great-spirits-head-series-15-auditions.html,"The Geordie duo, 46, both donned suave all-black outfits as they walked the red carpet where they were joined by judges Amanda Holden, Alesha Dixon and Simon Cowell.",2022-01-20 18:01:54,Amelia Wynne For Mailonline
Jacob Elordi exudes hipster cool in thermal top and denim jacket as he goes shopping with mystery girl in LA... after being linked to Olivia Jade ,/tvshowbiz/article-10423861/Jacob-Elordi-exudes-hipster-cool-thermal-goes-shopping-mystery-girl.html,"The Euphoria actor, 24, enjoyed a day in the sunny Los Angeles neighborhood of Sherman Oaks.",2022-01-20 18:02:38,Christine Rendon For Dailymail.com
Cowgirl Katy! Popstar Katy Perry tops off her western inspired suede ensemble with cowboy boots for date night with fiancé Orlando Bloom,/tvshowbiz/article-10423831/Katy-Perry-sports-Western-inspired-suede-ensemble-cowboy-boots-date-night.html,It was date night in Aspen for Katy Perry and Orlando Bloom while the popstar took a brief respite from her new Las Vegas residency.,2022-01-20 18:05:14,Caitlyn Becker For Dailymail.com
Kaia Gerber gets a warm embrace from beau Austin Butler as they pick up groceries in Los Angeles,/tvshowbiz/article-10424001/Kaia-Gerber-gets-warm-embrace-beau-Austin-Butler-pick-groceries-Los-Angeles.html,"The 20-year-old supermodel sported a pair of athletic shorts with a sweatshirt while walking her dog with the actor, 30, after stopping by the LA-favorite Erewhon market.",2022-01-20 18:08:31,Tracy Wright For Dailymail.com
