headline_text,article_url,article_preview,date,author
"'I was heading to an early death': Nadia Sawalha admits having daughter Maddy, 19, 'saved her life' as becoming a mum was the 'turning point' after years of heavy drinking and partying",/tvshowbiz/article-10449117/Nadia-Sawalha-admits-having-daughter-Maddy-saved-life-heading-early-death.html,"The Loose Women star, 57, admitted that having her daughter Maddy had 'saved her life' as she feared she was 'heading to an early death' following years of heavy drinking and partying.",2022-01-27 18:40:50,Niomi Harris For Mailonline
Katie Price reveals horses became her 'safe space' when she was admitted to The Priory in 2019 for trauma and details 'how bad' her depression got,/tvshowbiz/article-10449121/Katie-Price-reveals-horses-safe-space-admitted-Priory.html,Katie Price has revealed her beloved pet horses became 'her safe space' when she spent time in The Priory in 2019.,2022-01-27 18:49:43,Aisha Nozari For Mailonline
'Hell yeah!' Madonna says she wants to tour with Britney Spears and 're-enact' their iconic kiss at the MTV Video Music Awards in 2003,/tvshowbiz/article-10447347/Hell-yeah-Madonna-says-wants-tour-Britney-Spears-enact-2003-kiss.html,"In an Instagram Live stream on Tuesday, the Material Girl singer, 63, invited Britney, 40, to share another intimate smooch like at the MTV Video Music Awards in 2003.",2022-01-27 18:50:02,Jonathan Rose For Mailonline
Demi Lovato takes a dig at ex-fiancé Max Enrich saying a vibrator is better than being with him as he responds he has 'never have complaints',/tvshowbiz/article-10449081/Demi-Lovato-takes-dig-ex-fianc-Max-Enrich-saying-adult-toys-better-responds.html,Demi Lovato wasn't holding back their feelings when they harshly rated their ex-fiancé Max Enrich's performance in bed two days ago.,2022-01-27 18:50:56,Sonia Horon For Dailymail.Com
Kristen Stewart fondly recalls almost getting to work with Nicole Kidman in 2002's Panic Room and reveals the fun Christmas gift she got from the actress when she was 10,/tvshowbiz/article-10449135/Kristen-Stewart-fondly-recalls-Nicole-Kidman-giving-walkie-talkies-10.html,"Kristen Stewart, 31, missed out on Nicole Kidman, 54, playing her mom in her breakout film, Panic Room, but did get a nice parting gift from the Australian-American star: a pair of walkie-talkies.",2022-01-27 18:57:02,Caitlyn Becker For Dailymail.com
'I'm really gutted... it would've  helped me out!' Kerry Katona says Katie Price didn't use her  referral code while launching OnlyFans... despite Atomic Kitten star introducing her to the site!,/tvshowbiz/article-10448697/Kerry-Katona-reveals-gutted-Katie-Price-didnt-use-OnlyFans-referral-code.html,"Kerry Katona, 41, revealed on Thursday that she was 'the one who encouraged' Katie Price, 43, to join OnlyFans and she is 'gutted' Katie didn't use her  referral code.",2022-01-27 19:09:11,Ellen Coughlan For Mailonline
"'Calories were burned and endorphins be high!' Ashley Roberts, 40, gives a glimpse at her rock hard midriff as she hits the gym for vertical climbing class",/tvshowbiz/article-10448987/Ashley-Roberts-gives-glimpse-midriff-gym-locker-room.html,"Ashley Roberts, 40, showed off her fit physique as she flashed her midriff in some activewear as she hit the gym for a training session with pals in London on Thursday.",2022-01-27 19:20:54,Owen Tonks For Mailonline
Taylor Swift fan arrested after he 'crashed his car into her NYC apartment building and attempted to rip intercom off the wall',/tvshowbiz/article-10449357/Taylor-Swift-fan-arrested-crashed-car-NYC-apartment-building.html,"According to TMZ , the individual in question was taken into custody after he allegedly drove the wrong way down Taylor's street before going in reverse and hitting the building and fire hydrant.",2022-01-27 19:31:49,Christine Rendon For Dailymail.com
'I'm at a point where subtlety bodes me well': TOWIE's Bobby Norris admits he got 'stuck in a rut of having things done' before his face fillers were dissolved,/tvshowbiz/article-10449347/TOWIEs-Bobby-Norris-got-stuck-rut-having-things-having-fillers-dissolved.html,"The former TOWIE star, said he's reached a point in his life when 'sublety bodes him well,' even though he feared how he would look after reversing years of procedures.",2022-01-27 19:44:08,Laura Fox
Girl gone wild in Gucci! Miley Cyrus pushes the limits by opening her legs and unzipping her romper to flash cleavage while in an historic studio,/tvshowbiz/article-10449361/Miley-Cyrus-pushes-limits-opening-legs-unzipping-romper-flash-cleavage.html,Unpredictable pop icon Miley Cyrus has likely pushed the limits for the Italian fashion house with four new images shared to Instagram on Thursday.,2022-01-27 19:48:22,Heidi Parker For Dailymail.com
Paul 'DJ Pauly D' DelVecchio claims MTV owns footage of the Jersey Shore stars having sex: 'They have that footage somewhere',/tvshowbiz/article-10449425/Paul-DJ-Pauly-D-DelVecchio-says-Jersey-Shore-sex-tapes-exist.html,"Paul 'DJ Pauly D' DelVecchio admitted that MTV has video of the Jersey Shore cast members having sex. 'Those tapes exist', Pauly, 41, told the hosts.",2022-01-27 19:52:00,Ashley Hume For Dailymail.Com
